english_word,bangla_word,part_of_speech,image_url,original_file,cloudinary_public_id,file_id,word_id
"Abate","কমে যাওয়া, হ্রাস পাওয়া","Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1785597661/words/1/1785597660671_words_1.jpg.jpg","images (1).jpg","words/1/1785597660671_words_1.jpg",31,"50196554-7504-42f2-9556-eb10275964b6"
"Above","উপরে","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679240/words/10a9dfee-6665-4263-89c4-838300146c5c/1787679237294_words_10a9dfee-6665-4263-89c4-838300146c5c.jpg.jpg","Above.jpg","words/10a9dfee-6665-4263-89c4-838300146c5c/1787679237294_words_10a9dfee-6665-4263-89c4-838300146c5c.jpg",123,"10a9dfee-6665-4263-89c4-838300146c5c"
"Active","সক্রিয়","Adjective","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1782752758/words/1/1782752757153_words_1.jpeg.jpg","images.jpeg","words/1/1782752757153_words_1.jpeg",22,"b29b568f-0330-4c56-9f5e-b39b7cdb8078"
"Activity","কাজ/কার্যকলাপ","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679240/words/d8858c69-309a-4d68-8b82-8ac7447dfc2c/1787679237383_words_d8858c69-309a-4d68-8b82-8ac7447dfc2c.png.png","Activity.png","words/d8858c69-309a-4d68-8b82-8ac7447dfc2c/1787679237383_words_d8858c69-309a-4d68-8b82-8ac7447dfc2c.png",124,"d8858c69-309a-4d68-8b82-8ac7447dfc2c"
"Afraid","ভীত","Adjective","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679240/words/361acf4b-a505-49c4-bb38-0f8976162019/1787679237386_words_361acf4b-a505-49c4-bb38-0f8976162019.png.png","Afraid.png","words/361acf4b-a505-49c4-bb38-0f8976162019/1787679237386_words_361acf4b-a505-49c4-bb38-0f8976162019.png",122,"361acf4b-a505-49c4-bb38-0f8976162019"
"after","পরে","prep/adv","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679239/words/a2b3cf3b-49c2-4837-96db-3de94749b0f2/1787679237389_words_a2b3cf3b-49c2-4837-96db-3de94749b0f2.jpg.jpg","After.jpg","words/a2b3cf3b-49c2-4837-96db-3de94749b0f2/1787679237389_words_a2b3cf3b-49c2-4837-96db-3de94749b0f2.jpg",121,"a2b3cf3b-49c2-4837-96db-3de94749b0f2"
"afternoon","বিকাল","n.","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679242/words/6e16e78d-ea73-4fd4-914e-667e726ff927/1787679240086_words_6e16e78d-ea73-4fd4-914e-667e726ff927.png.png","Afternoon.png","words/6e16e78d-ea73-4fd4-914e-667e726ff927/1787679240086_words_6e16e78d-ea73-4fd4-914e-667e726ff927.png",127,"6e16e78d-ea73-4fd4-914e-667e726ff927"
"again","আবার","adv.","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679241/words/e603d965-47c1-42ea-98fc-0c7e6851df3f/1787679240910_words_e603d965-47c1-42ea-98fc-0c7e6851df3f.png.png","Again.png","words/e603d965-47c1-42ea-98fc-0c7e6851df3f/1787679240910_words_e603d965-47c1-42ea-98fc-0c7e6851df3f.png",125,"e603d965-47c1-42ea-98fc-0c7e6851df3f"
"age","বয়স","n.","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679242/words/6db4c600-5d1a-4e5e-8f9e-bd83e5efa327/1787679241042_words_6db4c600-5d1a-4e5e-8f9e-bd83e5efa327.png.png","Age.png","words/6db4c600-5d1a-4e5e-8f9e-bd83e5efa327/1787679241042_words_6db4c600-5d1a-4e5e-8f9e-bd83e5efa327.png",128,"6db4c600-5d1a-4e5e-8f9e-bd83e5efa327"
"Air","বাতাস","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679242/words/c0c093dc-907c-406e-bda2-770bc0b2eb94/1787679241114_words_c0c093dc-907c-406e-bda2-770bc0b2eb94.jpg.jpg","Air.jpg","words/c0c093dc-907c-406e-bda2-770bc0b2eb94/1787679241114_words_c0c093dc-907c-406e-bda2-770bc0b2eb94.jpg",126,"c0c093dc-907c-406e-bda2-770bc0b2eb94"
"Angry","রাগী","Adjective","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679243/words/651cfa7a-766d-45e4-9651-ec4be1c296fa/1787679242040_words_651cfa7a-766d-45e4-9651-ec4be1c296fa.png.png","Angry.png","words/651cfa7a-766d-45e4-9651-ec4be1c296fa/1787679242040_words_651cfa7a-766d-45e4-9651-ec4be1c296fa.png",132,"651cfa7a-766d-45e4-9651-ec4be1c296fa"
"Animal","প্রাণী","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1782751527/words/1/1782751525747_words_1.jpg.jpg","cow.jpg","words/1/1782751525747_words_1.jpg",21,"d7f5f038-9458-4fa9-95cc-5523bfb1fa04"
"Another","আরেকটি","Determiner/Pronoun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679243/words/9175dc1d-ec19-4083-81eb-489afb497bb4/1787679242361_words_9175dc1d-ec19-4083-81eb-489afb497bb4.png.png","Another.png","words/9175dc1d-ec19-4083-81eb-489afb497bb4/1787679242361_words_9175dc1d-ec19-4083-81eb-489afb497bb4.png",129,"9175dc1d-ec19-4083-81eb-489afb497bb4"
"Answer","উত্তর","Noun/Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679243/words/9a58ed2e-07c3-4460-8604-1921501204ef/1787679242419_words_9a58ed2e-07c3-4460-8604-1921501204ef.jpg.jpg","Answer.jpg","words/9a58ed2e-07c3-4460-8604-1921501204ef/1787679242419_words_9a58ed2e-07c3-4460-8604-1921501204ef.jpg",130,"9a58ed2e-07c3-4460-8604-1921501204ef"
"Ant","পিঁপড়া","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1782296237/words/1/1782296235880_words_1.jpg.jpg","download.jpg","words/1/1782296235880_words_1.jpg",16,"c38bf1bf-c8f2-448b-a19f-2b2c2cb9306b"
"April","এপ্রিল","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679243/words/73bd9fce-772b-4780-a79d-772a983e63c9/1787679242745_words_73bd9fce-772b-4780-a79d-772a983e63c9.png.png","April.png","words/73bd9fce-772b-4780-a79d-772a983e63c9/1787679242745_words_73bd9fce-772b-4780-a79d-772a983e63c9.png",131,"73bd9fce-772b-4780-a79d-772a983e63c9"
